Category,Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
"games,new_product",another_code,https://store.nintendo.nl/nl/another-code-recollection-70010000072197,70010000072197,name,Another Code: Recollection,https://schema.org/name,description,Beleef het volledige verhaal van Ashley Mizuki Robbins in twee avonturen in Another Code: Recollection,https://schema.org/description,sku,70010000072197,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/another-code-recollection-70010000072197,image,lxofdyhqojypqku2vec9,https://store.nintendo.nl/nl/another-code-recollection-70010000072197
franchise,mario_wonder,https://store.nintendo.nl/nl/super-mario-bros-wonder-70010000068689,70010000068689,name,Super Mario Bros. Wonder,https://schema.org/name,description,Verwacht het onverwachte!,https://schema.org/description,sku,70010000068689,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/super-mario-bros-wonder-70010000068689,image,c3xukvuam2iashmxvn4b,https://store.nintendo.nl/nl/super-mario-bros-wonder-70010000068689
"apparel,franchise",kirby_mousemat,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-muismat-000000000010011641,000000000010011641,name,Kirby's Return to Dream Land Deluxe-muismat,https://schema.org/name,description,"Waan je op de planeet Popstar met deze Kirby’s Return to Dream Land Deluxe-muismat, waarop de roze held in eigen persoon prijkt!",https://schema.org/description,sku,000000000010011641,https://schema.org/sku,price,0.0,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-muismat-000000000010011641,image,MNS/NOE/000000000010011641/Main_Tile_2000x2000-MNS-Reward-description,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-muismat-000000000010011641
"apparel,franchise",T_shirt_Splatoon3,https://store.nintendo.nl/nl/t-shirt-splatoon-3-splatfest-water-P00101,P00101,name,T-shirt Splatoon 3 Splatfest 'Water',https://schema.org/name,description,Laat de wereld met dit T-shirt Splatoon 3 Splatfest 'Water' zien welke kant jij kiest in het Splatfest Splatoon x Pokémon.,https://schema.org/description,sku,P00101,https://schema.org/sku,price,19.99,https://store.nintendo.nl/nl/t-shirt-splatoon-3-splatfest-water-P00101,image,MNS/NOE/P00101/2000x2000-Splatfest2022-TShirt-front-Blue,https://store.nintendo.nl/nl/t-shirt-splatoon-3-splatfest-water-P00101
apparel,mairo_bag,https://store.nintendo.nl/nl/super-mario-draagtas-000000000010012062,000000000010012062,name,Super Mario-draagtas,https://schema.org/name,description,Spring je volgende avontuur tegemoet met deze Super Mario-tas om je arm!,https://schema.org/description,sku,000000000010012062,https://schema.org/sku,price,0.0,https://store.nintendo.nl/nl/super-mario-draagtas-000000000010012062,image,MNS/NOE/000000000010012062/Main_Tile_2000x2000-MNS-Reward-SuperMarioBag-Product_01,https://store.nintendo.nl/nl/super-mario-draagtas-000000000010012062
apparel,kirby_key,https://store.nintendo.nl/nl/kirbys-dream-buffet-sleutelhanger-000000000010010992,000000000010010992,name,Kirby's Dream Buffet-sleutelhanger,https://schema.org/name,description,"Met deze schattige Kirby-sleutelhanger, die is geïnspireerd op Kirby's Dream Buffet, zie je er smaakvol uit!",https://schema.org/description,sku,000000000010010992,https://schema.org/sku,price,0.0,https://store.nintendo.nl/nl/kirbys-dream-buffet-sleutelhanger-000000000010010992,image,MNS/NOE/000000000010010992/1.1_ProductTile_Main_Tile_2000x2000-MNS-Reward-KirbysDreamBuffetKeychain_Product_enNOE,https://store.nintendo.nl/nl/kirbys-dream-buffet-sleutelhanger-000000000010010992
home_and_gifts,kirby_cards,https://store.nintendo.nl/nl/kirby-speelkaarten-000000000010001931,000000000010001931,name,Kirby Speelkaarten,https://schema.org/name,description,Speelkaarten van Kirby en zijn vrienden!,https://schema.org/description,sku,000000000010001931,https://schema.org/sku,price,17.49,https://store.nintendo.nl/nl/kirby-speelkaarten-000000000010001931,image,MNS/NOE/000000000010001931/1.1_ProductTile_Merchandise_KirbyPlayingCards_enNOE,https://store.nintendo.nl/nl/kirby-speelkaarten-000000000010001931
home_and_gifts,kirby_cards,https://store.nintendo.nl/nl/nintendo-64-paperclips-000000000010009889,000000000010009889,name,Nintendo 64-paperclips,https://schema.org/name,description,Deze paperclips in de vorm van Nintendo 64-controllers zijn nu exclusief verkrijgbaar op My Nintendo!,https://schema.org/description,sku,000000000010009889,https://schema.org/sku,price,0.0,https://store.nintendo.nl/nl/nintendo-64-paperclips-000000000010009889,image,MNS/NOE/000000000010009889/1.1_ProductTile_N64PaperClips_EN_NOEv2,https://store.nintendo.nl/nl/nintendo-64-paperclips-000000000010009889
home_and_gifts,Posterset,https://store.nintendo.nl/nl/game-boy-posterset-000000000010011600,000000000010011600,name,Game Boy-posterset,https://schema.org/name,description,Geef je muren een retro uitstraling met deze Game Boy-posterset met daarop drie klassieke games!,https://schema.org/description,sku,000000000010011600,https://schema.org/sku,price,0.0,https://store.nintendo.nl/nl/game-boy-posterset-000000000010011600,image,MNS/NOE/000000000010011600/1.1_ProductTile_GameBoyPoster_EN,https://store.nintendo.nl/nl/game-boy-posterset-000000000010011600
"home_and_gifts,new_product",Theedoek, https://store.nintendo.nl/nl/pikmin-4-theedoek-000000000010012315,000000000010012315,name,Pikmin 4-theedoek,https://schema.org/name,description,Laat de Pikmin meehelpen bij het afdrogen met deze Pikmin 4-theedoek!,https://schema.org/description,sku,000000000010012315,https://schema.org/sku,price,0.0, https://store.nintendo.nl/nl/pikmin-4-theedoek-000000000010012315,image,qphcjsmtnwp8hcu67dlr, https://store.nintendo.nl/nl/pikmin-4-theedoek-000000000010012315
home_and_gifts,Knuffel_Propeller_Mario_Nintendo_Tokyo_Exclusive_Collection,https://store.nintendo.nl/nl/knuffel-propeller-mario-nintendo-tokyo-exclusive-collection-000000000010004852,000000000010004852,name,Knuffel Propeller-Mario – Nintendo Tokyo Exclusive Collection,https://schema.org/name,description,"Vier het 35-jarig jubileum van Super Mario Bros. met deze Knuffel Propeller-Mario, exclusief verkrijgbaar in de My Nintendo Store.",https://schema.org/description,sku,000000000010004852,https://schema.org/sku,price,24.99,https://store.nintendo.nl/nl/knuffel-propeller-mario-nintendo-tokyo-exclusive-collection-000000000010004852,image,MNS/NOE/000000000010004852/1.1_2000x2000_Super-Mario-35th-Anniversary_Propeller-Mario-Soft-Toy,https://store.nintendo.nl/nl/knuffel-propeller-mario-nintendo-tokyo-exclusive-collection-000000000010004852
home_and_gifts,Knuffel_Mario_Tanuki_Nintendo_Tokyo_Exclusive_Collection,https://store.nintendo.nl/nl/knuffel-mario-tanuki-nintendo-tokyo-exclusive-collection-000000000010004851,000000000010004851,name,Knuffel Mario Tanuki - Nintendo Tokyo Exclusive Collection,https://schema.org/name,description,"Vier het 35-jarig jubileum van Super Mario Bros. met deze Knuffel Mario Tanuki, exclusief verkrijgbaar in My Nintendo Store.",https://schema.org/description,sku,000000000010004851,https://schema.org/sku,price,24.99,https://store.nintendo.nl/nl/knuffel-mario-tanuki-nintendo-tokyo-exclusive-collection-000000000010004851,image,MNS/NOE/000000000010004851/1.1_2000x2000_Super-Mario-35th-Anniversary_Tanooki-Mario-Soft-Toy,https://store.nintendo.nl/nl/knuffel-mario-tanuki-nintendo-tokyo-exclusive-collection-000000000010004851
